"Company 
(Maker-if known)",SpecificBeanOriginorBarName,REF,"Review
Date",CocoaPercent,CompanyLocation,Rating,"Bean
Type",BroadBeanOrigin,Secondary Origin,,,
Daintree,"Daintree Estates, N. Queensland",785,2011,70%,Australia,3.25, ,Australia,,,,
"Smooth Chocolator, The",Australia,1864,2016,67%,Australia,3.75, ,Australia,,,,
"Smooth Chocolator, The","Maya Mtn, Moho R., Toledo D.",1756,2016,70%,Australia,3.75, ,Belize,,,,
Ambrosia,Belize,1494,2015,64%,Canada,3,Trinitario,Belize,,,,
organicfair,Maya Mountain,1161,2013,74%,Canada,2.75,Trinitario,Belize,,,,
Palette de Bine,Maya Mtn,1720,2016,72%,Canada,3,Trinitario,Belize,,,,
Belyzium,"Belize south, low fermentation",1768,2016,83%,Germany,2.75,Trinitario,Belize,,,,
Belyzium,Belize south,1768,2016,78%,Germany,3,Trinitario,Belize,,,,
Belyzium,Belize south,1768,2016,83%,Germany,3.5,Trinitario,Belize,,,,
Choco Del Sol,Maya Mountain w/ nibs,1407,2014,75%,Germany,3,Trinitario,Belize,,,,
Choco Del Sol,Maya Mountain,1407,2014,82%,Germany,3.25,Trinitario,Belize,,,,
Timo A. Meyer,"Belize, med roast",1836,2016,72%,Germany,3.75,"Trinitario, TCGA",Belize,,,,
Silvio Bessone,Maya Belize,717,2011,67%,Italy,3,Criollo,Belize,,,,
La Chocolaterie Nanairo,"Belize, 2014 Harvest, Batch 9",1892,2016,70%,Japan,3,"Trinitario, Criollo",Belize,,,,
Feitoria Cacao,Maya Mountain,1736,2016,76%,Portugal,2.75,Trinitario,Belize,,,,
Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75,Trinitario,Belize,,,,
Bisou,Belize,1486,2015,86%,U.S.A.,3.25,Trinitario,Belize,,,,
Bowler Man,Maya Mountain,1267,2014,70%,U.S.A.,2.75,Trinitario,Belize,,,,
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70%,U.S.A.,3.75,Trinitario,Belize,,,,
Brazen,Maya Mountain,1518,2015,80%,U.S.A.,3.25,Trinitario,Belize,,,,
Burnt Fork Bend,Belize,1303,2014,72%,U.S.A.,3.25,Trinitario,Belize,,,,
Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,72%,U.S.A.,4,Trinitario,Belize,,,,
Charm School,Maya Mtn,1900,2016,70%,U.S.A.,3.25, ,Belize,,,,
Dandelion,"Maya Mtn., Break Bar- Snark",1446,2015,70%,U.S.A.,3,Trinitario,Belize,,,,
Dandelion,Maya Mountain,1219,2014,70%,U.S.A.,3.5,Trinitario,Belize,,,,
Dick Taylor,Belize,955,2012,72%,U.S.A.,2.75,Trinitario,Belize,,,,
Ethereal,Belize,1275,2014,80%,U.S.A.,3,Trinitario,Belize,,,,
Glennmade,"Toledo District, 2015 Harvest",1848,2016,70%,U.S.A.,3.5, ,Belize,,,,
Heirloom Cacao Preservation (Brasstown),"Maya Mtn, Moho R., Toledo D., 2015",1748,2016,70%,U.S.A.,3.25,Amazon,Belize,,,,
Isidro,Belize,1279,2014,72%,U.S.A.,3.25,Trinitario,Belize,,,,
Izard,"Maya Mountain, Toledo, Batch 29",1542,2015,70%,U.S.A.,3.5,Trinitario,Belize,,,,
Just Good Chocolate,Belize,1375,2014,70%,U.S.A.,3.5,Trinitario,Belize,,,,
Kto,Belize,1422,2014,72%,U.S.A.,3,Trinitario,Belize,,,,
Kto,Belize,1426,2014,90%,U.S.A.,3.25,Trinitario,Belize,,,,
Letterpress,"Maya Mtn, Batch 18, Heirloom",1952,2017,70%,U.S.A.,3.25, ,Belize,,,,
Mast Brothers,Moho River,773,2011,70%,U.S.A.,3.5,Trinitario,Belize,,,,
Maverick,Maya Mountain,1367,2014,70%,U.S.A.,3.25,Trinitario,Belize,,,,
Meadowlands,Belize,1287,2014,70%,U.S.A.,3,Trinitario,Belize,,,,
Middlebury,Maya Mountain,1490,2015,80%,U.S.A.,3.5,Trinitario,Belize,,,,
Middlebury,Belize,1117,2013,80%,U.S.A.,3.25,Trinitario,Belize,,,,
Moho,"Toledo District, w/ nibs",1026,2013,73%,U.S.A.,3.25,Trinitario,Belize,,,,
Moho,Toledo District,1030,2013,72%,U.S.A.,3,Trinitario,Belize,,,,
Moho,"Umoho R., Toledo District, San Felipe",607,2010,67%,U.S.A.,2.75,Trinitario,Belize,,,,
Noble Bean aka Jerjobo,Moho Valley,1299,2014,75%,U.S.A.,3,Trinitario,Belize,,,,
Ritual,"Toledo District, Maya",1089,2013,75%,U.S.A.,3.75,Trinitario,Belize,,,,
Shark Mountain,"Belize, 2013",1335,2014,72%,U.S.A.,3.25,"Criollo, Trinitario",Belize,,,,
Sublime Origins,Moho Valley,1157,2013,78%,U.S.A.,3.25,Trinitario,Belize,,,,
Taza,Belize,1271,2014,68%,U.S.A.,3,Trinitario,Belize,,,,
Terroir,Belize,1478,2015,70%,U.S.A.,3.75,Trinitario,Belize,,,,
Violet Sky,Moho River Valley,1458,2015,77%,U.S.A.,3,"Criollo, Trinitario",Belize,,,,
Zak's,"Belize, Batch 2",1578,2015,70%,U.S.A.,3.5,Trinitario,Belize,,,,
Compania de Chocolate (Salgado),Moxos,292,2008,72%,Argentina,3.25, ,Bolivia,,,,
"Smooth Chocolator, The",Bolivia,1626,2015,72%,Australia,2.75, ,Bolivia,,,,
Zokoko,Alto Beni,697,2011,68%,Australia,3.5, ,Bolivia,,,,
Zokoko,"Tranquilidad, Baures",701,2011,72%,Australia,3.75, ,Bolivia,,,,
Martin Mayer,Alto Beni,1836,2016,76%,Austria,2.75, ,Bolivia,,,,
Zotter,El Ceibo Coop,879,2012,90%,Austria,3.25, ,Bolivia,,,,
El Ceibo,"Alto Beni, Covendo Region",709,2011,75%,Bolivia,3.75, ,Bolivia,,,,
El Ceibo,Alto Beni,252,2008,71%,Bolivia,2.75, ,Bolivia,,,,
Hummingbird,Bolivia,1307,2014,70%,Canada,3,"Criollo, Trinitario",Bolivia,,,,
Hummingbird,"Bolivia, Bo-nib-ia, w/ nibs",1311,2014,70%,Canada,3,"Criollo, Trinitario",Bolivia,,,,
Palette de Bine,"Silvestre, La Paz, Beni",1570,2015,70%,Canada,3.25, ,Bolivia,,,,
Palette de Bine,"Alto Beni, Palos Blancos",1239,2014,72%,Canada,2.75, ,Bolivia,,,,
Sirene,Wild Bolivia,1788,2016,73%,Canada,3.5, ,Bolivia,,,,
Soma,"Alto Beni, Wild Bolivian",676,2011,70%,Canada,3.5,Nacional,Bolivia,,,,
A. Morin,Bolivia,797,2012,70%,France,3.5, ,Bolivia,,,,
Oialla by Bojessen (Malmo),"Sylvestre, Oialla",761,2011,70%,Germany,3.5,Criollo,Bolivia,,,,
Felchlin,"Alto Beni, Cru Savage",56,2006,68%,Switzerland,4,Criollo (Wild),Bolivia,,,,
Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R. 24hr c.",733,2011,66%,Switzerland,3.75, ,Bolivia,,,,
Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R., 60hr c.",341,2009,68%,Switzerland,3.25, ,Bolivia,,,,
Sprungli (Felchlin),Alto Beni,1057,2013,70%,Switzerland,3,Criollo,Bolivia,,,,
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60%,U.S.A.,2.5, ,Bolivia,,,,
Altus aka Cao Artisan,Bolivia,1129,2013,80%,U.S.A.,3.25, ,Bolivia,,,,
Altus aka Cao Artisan,Bolivia,1133,2013,60%,U.S.A.,3, ,Bolivia,,,,
Animas,Alto Beni,1852,2016,75%,U.S.A.,3.5, ,Bolivia,,,,
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70%,U.S.A.,3.25, ,Bolivia,,,,
Cao,Bolivia,1808,2016,75%,U.S.A.,3, ,Bolivia,,,,
Castronovo,Bolivia,1101,2013,70%,U.S.A.,3,Trinitario,Bolivia,,,,
Cello,Bolivia,1251,2014,70%,U.S.A.,3, ,Bolivia,,,,
Chocolate Con Amor,Wild Bolivian,1760,2016,70%,U.S.A.,2.5, ,Bolivia,,,,
Dark Forest,Bolivia,1708,2016,75%,U.S.A.,3.25, ,Bolivia,,,,
DeVries,Bolivian,241,2008,80%,U.S.A.,2.75, ,Bolivia,,,,
Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",1634,2015,70%,U.S.A.,3.75, ,Bolivia,,,,
Dick Taylor,Bolivia,895,2012,75%,U.S.A.,2.75, ,Bolivia,,,,
Fruition,"Wild Bolivian, Batch 2",1780,2016,74%,U.S.A.,3.75,Beniano,Bolivia,,,,
Heirloom Cacao Preservation (Guittard),"Alto Beni, Upper Rio Beni, 2014",1239,2014,67%,U.S.A.,3.5,"Amazon, ICS",Bolivia,,,,
Heirloom Cacao Preservation (Guittard),"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",1243,2014,67%,U.S.A.,3,Beniano,Bolivia,,,,
Heirloom Cacao Preservation (Zokoko),"Alto Beni, Upper Rio Beni, 2015",1744,2016,68%,U.S.A.,3.75,"Amazon, ICS",Bolivia,,,,
Heirloom Cacao Preservation (Zokoko),"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",1744,2016,72%,U.S.A.,4,Beniano,Bolivia,,,,
L.A. Burdick (Felchlin),Bolivian,451,2009,68%,U.S.A.,3, ,Bolivia,,,,
Letterpress,Beniamo,1562,2015,70%,U.S.A.,3.25, ,Bolivia,,,,
Lillie Belle,"Bolivia, Wild Thing",903,2012,68%,U.S.A.,3.5,Criollo,Bolivia,,,,
Lillie Belle,Wild Thing,947,2012,68%,U.S.A.,3.5,Criollo,Bolivia,,,,
Meadowlands,Bolivia,1287,2014,70%,U.S.A.,2.5, ,Bolivia,,,,
Middlebury,Alto Beni,887,2012,75%,U.S.A.,2,Criollo,Bolivia,,,,
Parliament,Alto Beni,1251,2014,70%,U.S.A.,3, ,Bolivia,,,,
Rogue,"Tranquilidad, Batch 1",1566,2015,75%,U.S.A.,3.25, ,Bolivia,,,,
Rogue,"Silvestre, Batch 7, 2013",1081,2013,75%,U.S.A.,4, ,Bolivia,,,,
Rogue,"Silvestre, Batch 1, 2011",793,2011,75%,U.S.A.,3,Criollo,Bolivia,,,,
Solstice,Bolivia,1161,2013,70%,U.S.A.,3.25, ,Bolivia,,,,
Taza,Alto Beni,785,2011,87%,U.S.A.,3.25, ,Bolivia,,,,
Tejas,San Jose,829,2012,70%,U.S.A.,2.75, ,Bolivia,,,,
Tejas,San Jose,971,2012,67%,U.S.A.,3.25, ,Bolivia,,,,
Tocoti,"Wild Bolivian, Jungle Love",927,2012,77%,U.S.A.,3,Criollo,Bolivia,,,,
twenty-four blackbirds,Palos Blancos,1026,2013,75%,U.S.A.,2.5, ,Bolivia,,,,
Vicuna,Palos Blancos,1470,2015,70%,U.S.A.,3.25, ,Bolivia,,,,
Vicuna,Palos Blancos + nibs,1470,2015,70%,U.S.A.,3.25, ,Bolivia,,,,
Wm,"Wild Beniano, 2016, batch 128, Heirloom",1912,2016,76%,U.S.A.,3.5, ,Bolivia,,,,
Salgado,Bahia Superior,288,2008,70%,Argentina,3.5,Forastero,Brazil,,,,
Bahen & Co.,Bahia,999,2012,70%,Australia,2.5, ,Brazil,,,,
Cravve,"Bahia, batch a1213",975,2012,65%,Australia,3.25,Trinitario,Brazil,,,,
Zotter,"Brazil, Mitzi Blue",486,2010,65%,Austria,3, ,Brazil,,,,
Pierre Marcolini,"Bahia Brazil, Fazenda Sao Pedro",414,2009,72%,Belgium,3,Forastero,Brazil,,,,
AMMA,Catongo,1065,2013,75%,Brazil,3.25,Forastero (Catongo),Brazil,,,,
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85%,Brazil,2.75,Forastero (Parazinho),Brazil,,,,
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil,,,,
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil,,,,
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4,Forastero (Parazinho),Brazil,,,,
De Mendes,"Nativo, Varzea",1462,2015,72%,Brazil,3.5, ,Brazil,,,,
De Mendes,"Selvagem, Jari",1462,2015,65%,Brazil,3.5, ,Brazil,,,,
Lajedo do Ouro,Catongo,927,2012,70%,Brazil,3.5,Forastero (Catongo),Brazil,,,,
Mission,"Fazenda Camboa, Bahia",1880,2016,75%,Brazil,3.75, ,Brazil,,,,
Mission,"Bahia, Fazenda Venturosa",1626,2015,70%,Brazil,3.5,Forastero (Parazinho),Brazil,,,,
Nugali,Fazenda Leolinda,1876,2016,70%,Brazil,3.5,Trinitario (Scavina),Brazil,,,,
Q Chocolate,Brazil,1057,2013,75%,Brazil,3.25, ,Brazil,,,,
Q Chocolate,Brazil,1057,2013,85%,Brazil,3.5, ,Brazil,,,,
Q Chocolate,Brazil,1069,2013,55%,Brazil,2.75, ,Brazil,,,,
Q Chocolate,Brazil,1069,2013,80%,Brazil,3.25, ,Brazil,,,,
Q Chocolate,Brazil,935,2012,60%,Brazil,3, ,Brazil,,,,
Q Chocolate,Brazil,935,2012,65%,Brazil,3.25, ,Brazil,,,,
Choklat,Brazilian,377,2009,70%,Canada,3, ,Brazil,,,,
Choklat,Brazilian,377,2009,80%,Canada,3, ,Brazil,,,,
Soma,"Bahia Black, batch bra50722.1",1828,2016,70%,Canada,3.5,Forastero (Parazinho),Brazil,,,,
A. Morin,Brazil,1011,2013,70%,France,3.25, ,Brazil,,,,
Bonnat,Kaori,1339,2014,75%,France,4, ,Brazil,,,,
Bonnat,Maragnam,1038,2013,75%,France,3.5, ,Brazil,,,,
Bonnat,Libanio,629,2011,75%,France,3.75, ,Brazil,,,,
Bonnat,Juliana,672,2011,75%,France,3.5, ,Brazil,,,,
Laia aka Chat-Noir,"Bahia, Batch 148",1642,2015,75%,France,3.25, ,Brazil,,,,
Pralus,"Monte Alegre, Diego Badero",280,2008,75%,France,3.5, ,Brazil,,,,
Pralus,"Monte Alegre (Itacare), Brazil",105,2006,75%,France,3,Forastero,Brazil,,,,
Szanto Tibor,"Fazenda Sempre Firme, Bahia",1708,2015,70%,Hungary,3.5,Forastero (Parazinho),Brazil,,,,
Silvio Bessone,"Bahia, Scavina",729,2011,60%,Italy,3.25,Trinitario,Brazil,,,,
Metiisto,"Fazenda Sempre Firme P., Bahia",1267,2014,70%,Sweden,3, ,Brazil,,,,
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75%,Switzerland,2.75,Forastero,Brazil,,,,
Stella (aka Bernrain),"Bahia, Agri-Forestal Plantation, 2010",859,2012,68%,Switzerland,2.75,Trinitario,Brazil,,,,
Artisan du Chocolat,Brazil Rio Doce,363,2009,72%,U.K.,1.75, ,Brazil,,,,
Arete,Fazenda Camboa,1534,2015,70%,U.S.A.,3.5, ,Brazil,,,,
Arete,Fazenda Camboa,1602,2015,75%,U.S.A.,2.75, ,Brazil,,,,
Bar Au Chocolat,Bahia,1554,2015,70%,U.S.A.,3.5, ,Brazil,,,,
Batch,Brazil,1868,2016,70%,U.S.A.,3.75, ,Brazil,,,,
Beehive,"Brazil, Batch 20316",1784,2016,80%,U.S.A.,2.75, ,Brazil,,,,
Cao,Brazil,1808,2016,70%,U.S.A.,3.25,Trinitario,Brazil,,,,
Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",565,2010,75%,U.S.A.,2.75, ,Brazil,,,,
Glennmade,Bahia,1672,2015,66%,U.S.A.,3,"Trinitario, Forastero",Brazil,,,,
Harper Macaw,"Vale do Juliana, w/ nibs",1808,2016,85%,U.S.A.,3.25, ,Brazil,,,,
Harper Macaw,Brazil Blend,1696,2015,67%,U.S.A.,3, ,Brazil,,,,
Harper Macaw,"Tome Acu E., Amazon Rainforest",1700,2015,77%,U.S.A.,3.5, ,Brazil,,,,
Harper Macaw,"Vale do Juliana E., Atlantic Forest",1700,2015,74%,U.S.A.,3.5, ,Brazil,,,,
K'ul,"Bahia, Fazenda Camboa",1852,2016,70%,U.S.A.,3.75,Forastero,Brazil,,,,
L.A. Burdick (Felchlin),Brazil,891,2012,70%,U.S.A.,4, ,Brazil,,,,
Madre,Brazil,1085,2013,70%,U.S.A.,3.5, ,Brazil,,,,
Potomac,Bahia,789,2011,70%,U.S.A.,3.5, ,Brazil,,,,
Scharffen Berger,Tome Acu,336,2009,68%,U.S.A.,3.75, ,Brazil,,,,
Tejas,Espada,967,2012,70%,U.S.A.,2.75, ,Brazil,,,,
Tejas,"Bahia, Floresta Azul,Good Friends Reserve#3",971,2012,70%,U.S.A.,3.5,Forastero (Parazinho),Brazil,,,,
A. Morin,Birmanie,1015,2013,70%,France,3, ,Burma,,,,
Pierre Marcolini,"Haut Penja, w/ nibs",1658,2015,70%,Belgium,3.25,Forastero,Cameroon,,,,
Olivia,Carribean-Raw,688,2011,76%,Canada,2, ,Carribean,,,,
Olivia,Carribean,688,2011,76%,Canada,2.75, ,Carribean,,,,
Olivia,Carribean,688,2011,85%,Canada,2.75, ,Carribean,,,,
Olivia,Carribean-Raw,688,2011,85%,Canada,3, ,Carribean,,,,
Bonnat,Trinite,24,2006,75%,France,3.75,Trinitario,Carribean,,,,
Valrhona,Caraibe,63,2006,66%,France,3,Trinitario,Carribean,,,,
S.A.I.D.,Arawak,615,2010,72%,Italy,3.5, ,Carribean,,,,
Scharffen Berger,Antilles (Trin/Gren/DR/Ven),188,2007,75%,U.S.A.,3,Blend,Carribean,,,,
Scharffen Berger,Las Islas,117,2007,72%,U.S.A.,3,Blend,Carribean,,,,
Sacred,Midnight,813,2012,83%,U.S.A.,2.75, ,South America,,,,
Sacred,Twilight,813,2012,69%,U.S.A.,3.25, ,South America,,,,
Videri,Dark,1117,2013,90%,U.S.A.,3.75, ,South America,,,,
Videri,Classic,991,2012,70%,U.S.A.,3.25, ,South America,,,,
Martin Mayer,Tumaco,1836,2016,74%,Austria,3.25, ,Colombia,,,,
Eau de Rose,Tumaco,1812,2016,70%,Canada,3.25, ,Colombia,,,,
Eau de Rose,Arauca,1812,2016,70%,Canada,3.25, ,Colombia,,,,
Cacao Hunters,Macondo,1816,2016,71%,Colombia,3.75, ,Colombia,,,,
Cacao Hunters,Perla Negra,1816,2016,74%,Colombia,3.75, ,Colombia,,,,
Cacao Hunters,Arhuacos,1662,2015,72%,Colombia,3.75, ,Colombia,,,,
Cacao Hunters,Sierra Nevada,1430,2014,64%,Colombia,3.5, ,Colombia,,,,
Cacao Hunters,Tumaco,1430,2014,70%,Colombia,3.5, ,Colombia,,,,
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,2014,69%,Colombia,2.75, ,Colombia,,,,
Cacao Hunters,Arauca,1434,2014,70%,Colombia,3.25, ,Colombia,,,,
Carlotta Chocolat,Arauca,1884,2016,65%,Colombia,3,Trinitario,Colombia,,,,
Carlotta Chocolat,Tumaco,1888,2016,65%,Colombia,3.25,Trinitario,Colombia,,,,
Carlotta Chocolat,Cordoba,1888,2016,65%,Colombia,3.25,Trinitario,Colombia,,,,
Carlotta Chocolat,Huila,1888,2016,65%,Colombia,3.5,Trinitario,Colombia,,,,
Carlotta Chocolat,Cesar,1888,2016,65%,Colombia,3.5,CCN51,Colombia,,,,
Luker,Santander,552,2010,65%,Colombia,3.5, ,Colombia,,,,
Manifesto Cacao,Colombia,1331,2014,70%,Colombia,2.75, ,Colombia,,,,
Mita,Tumaco,955,2012,65%,Colombia,2.5, ,Colombia,,,,
Santander (Compania Nacional),Colombian 2008,404,2009,75%,Colombia,2.75,Forastero (Nacional),Colombia,,,,
Santander (Compania Nacional),Colombian w/ nibs,414,2009,70%,Colombia,3,Forastero (Nacional),Colombia,,,,
Santander (Compania Nacional),Colombian Semi Dark,32,2006,53%,Colombia,2,Forastero (Nacional),Colombia,,,,
Santander (Compania Nacional),Colombian,32,2006,65%,Colombia,3,Forastero (Nacional),Colombia,,,,
Santander (Compania Nacional),Colombian Dark,32,2006,70%,Colombia,4,Forastero (Nacional),Colombia,,,,
Pacari,"Sierra Nevada, Tutu Iku",1848,2016,70%,Ecuador,4, ,Colombia,,,,
A. Morin,Colombie,1015,2013,70%,France,2.75, ,Colombia,,,,
Pralus,Colombie,40,2006,75%,France,3.5,Trinitario,Colombia,,,,
Domori,Teyuna,272,2008,70%,Italy,3, ,Colombia,,,,
Silvio Bessone,"Porcelana, Colombia, Amazonas",741,2011,68%,Italy,3,"Criollo, Trinitario",Colombia,,,,
Tablette (aka Vanillabeans),Colombia,1450,2015,70%,Japan,3, ,Colombia,,,,
Manufaktura Czekolady,Kolumbia,1279,2014,85%,Poland,3.5, ,Colombia,,,,
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72%,U.K.,3.75, ,Colombia,,,,
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72%,U.K.,2.75,Trinitario,Colombia,,,,
Dormouse,"Colombia, Batch 9",1676,2015,80%,U.K.,2.75,"Criollo, Trinitario",Colombia,,,,
Willie's Cacao,Los Llanos,1848,2016,70%,U.K.,4, ,Colombia,,,,
Willie's Cacao,Los Llanos,1227,2014,88%,U.K.,3,Trinitario,Colombia,,,,
Castronovo,Sierra Nevada,1347,2014,72%,U.S.A.,3.5,"Criollo, Trinitario",Colombia,,,,
Castronovo,Arauca,1371,2014,76%,U.S.A.,3.5,"Criollo, Trinitario",Colombia,,,,
Dandelion,Colombian,805,2012,70%,U.S.A.,3.25, ,Colombia,,,,
Guittard,Chucuri,15,2006,65%,U.S.A.,3,Trinitario,Colombia,,,,
Map Chocolate,Colombia,1610,2015,75%,U.S.A.,2.75, ,Colombia,,,,
